,Gamma,D,Reg_Name,NMSE,S_Error
0,0.01,8,none,0.40650308,0.04079241
1,0.01,8,l1,0.4070157,0.04027653
2,0.01,8,stvs,0.40652296,0.040729422
3,0.01,20,none,0.23173554,0.25391328
4,0.01,20,l1,0.23205717,0.25237817
5,0.01,20,stvs,0.23174292,0.25376058
6,0.01,100,none,0.1664808,0.7546515
7,0.01,100,l1,0.16662306,0.7530571
8,0.01,100,stvs,0.16647898,0.75454277
9,1.12,8,none,0.40650308,0.04079241
10,1.12,8,l1,0.41556177,0.028658196
11,1.12,8,stvs,0.41348094,0.02347333
12,1.12,20,none,0.23173554,0.25391328
13,1.12,20,l1,0.24066335,0.22056034
14,1.12,20,stvs,0.23880439,0.20346192
15,1.12,100,none,0.1664808,0.7546515
16,1.12,100,l1,0.17276095,0.69584036
17,1.12,100,stvs,0.17191796,0.6822849
18,2.23,8,none,0.40650308,0.04079241
19,2.23,8,l1,0.41595703,0.027693208
20,2.23,8,stvs,0.41479874,0.024392875
21,2.23,20,none,0.23173554,0.25391328
22,2.23,20,l1,0.24213983,0.21561153
23,2.23,20,stvs,0.24093951,0.20187654
24,2.23,100,none,0.1664808,0.7546515
25,2.23,100,l1,0.17394677,0.6798073
26,2.23,100,stvs,0.17380509,0.6682131
27,3.3400002,8,none,0.40650308,0.04079241
28,3.3400002,8,l1,0.4161485,0.027776377
29,3.3400002,8,stvs,0.41522768,0.025171315
30,3.3400002,20,none,0.23173554,0.25391328
31,3.3400002,20,l1,0.24254033,0.21336721
32,3.3400002,20,stvs,0.2422602,0.20205124
33,3.3400002,100,none,0.1664808,0.7546515
34,3.3400002,100,l1,0.17477609,0.67364395
35,3.3400002,100,stvs,0.17436488,0.6631984
36,4.4500003,8,none,0.40650308,0.04079241
37,4.4500003,8,l1,0.41631782,0.0278634
38,4.4500003,8,stvs,0.4155254,0.025721181
39,4.4500003,20,none,0.23173554,0.25391328
40,4.4500003,20,l1,0.24296322,0.21175292
41,4.4500003,20,stvs,0.24314518,0.20332901
42,4.4500003,100,none,0.1664808,0.7546515
43,4.4500003,100,l1,0.17506957,0.6700817
44,4.4500003,100,stvs,0.17470105,0.66085
45,5.5600004,8,none,0.40650308,0.04079241
46,5.5600004,8,l1,0.41642076,0.027931547
47,5.5600004,8,stvs,0.41582143,0.026123911
48,5.5600004,20,none,0.23173554,0.25391328
49,5.5600004,20,l1,0.2433557,0.21112709
50,5.5600004,20,stvs,0.24359104,0.20434406
51,5.5600004,100,none,0.1664808,0.7546515
52,5.5600004,100,l1,0.17530361,0.6674545
53,5.5600004,100,stvs,0.17486553,0.6591373
54,6.6700006,8,none,0.40650308,0.04079241
55,6.6700006,8,l1,0.41647658,0.028003138
56,6.6700006,8,stvs,0.4160427,0.026467625
57,6.6700006,20,none,0.23173554,0.25391328
58,6.6700006,20,l1,0.2438621,0.2107047
59,6.6700006,20,stvs,0.24395019,0.20507121
60,6.6700006,100,none,0.1664808,0.7546515
61,6.6700006,100,l1,0.17543204,0.66542363
62,6.6700006,100,stvs,0.17505494,0.65856373
63,7.78,8,none,0.40650308,0.04079241
64,7.78,8,l1,0.4165307,0.02806505
65,7.78,8,stvs,0.41615576,0.026760058
66,7.78,20,none,0.23173554,0.25391328
67,7.78,20,l1,0.24439342,0.21039358
68,7.78,20,stvs,0.24418099,0.20573978
69,7.78,100,none,0.1664808,0.7546515
70,7.78,100,l1,0.17545132,0.6642696
71,7.78,100,stvs,0.17526233,0.65789264
72,8.89,8,none,0.40650308,0.04079241
73,8.89,8,l1,0.41656882,0.028101107
74,8.89,8,stvs,0.41623825,0.026992373
75,8.89,20,none,0.23173554,0.25391328
76,8.89,20,l1,0.24463718,0.21050988
77,8.89,20,stvs,0.24434838,0.2062681
78,8.89,100,none,0.1664808,0.7546515
79,8.89,100,l1,0.17555133,0.66280794
80,8.89,100,stvs,0.17542115,0.65706307
81,10.0,8,none,0.40650308,0.04079241
82,10.0,8,l1,0.41659206,0.028130617
83,10.0,8,stvs,0.4162997,0.027171727
84,10.0,20,none,0.23173554,0.25391328
85,10.0,20,l1,0.244904,0.21053615
86,10.0,20,stvs,0.24450542,0.20665151
87,10.0,100,none,0.1664808,0.7546515
88,10.0,100,l1,0.1755923,0.6620953
89,10.0,100,stvs,0.1755427,0.6566308
